snapshot_position,bidding_zone,day_ahead_price_eur_per_mwh,ets_price_eur_per_tco2,low_price_threshold_eur_per_mwh,low_price_exception,ppa_additionality_ok,geographical_correlation_ok,temporal_correlation_ok,rfnbo_eligible
19,13,,,,0,0,0,0,0
19,14,,,,0,0,0,0,0
19,15,,,,0,0,0,0,0
20,11,,,,0,0,0,0,0
20,12,,,,0,0,0,0,0
20,13,,,,0,0,0,0,0
20,14,,,,0,0,0,0,0
20,15,,,,0,0,0,0,0
21,11,,,,0,0,0,0,0
21,12,,,,0,0,0,0,0
21,13,,,,0,0,0,0,0
21,14,,,,0,0,0,0,0
21,15,,,,0,0,0,0,0
22,11,,,,0,0,0,0,0
22,12,,,,0,0,0,0,0
22,13,,,,0,0,0,0,0
22,14,,,,0,0,0,0,0
22,15,,,,0,0,0,0,0
23,11,,,,0,0,0,0,0
23,12,,,,0,0,0,0,0
23,13,,,,0,0,0,0,0
23,14,,,,0,0,0,0,0
23,15,,,,0,0,0,0,0
24,11,,,,0,0,0,0,0
24,12,,,,0,0,0,0,0
24,13,,,,0,0,0,0,0
24,14,,,,0,0,0,0,0
24,15,,,,0,0,0,0,0
25,11,,,,0,0,0,0,0
25,12,,,,0,0,0,0,0
25,13,,,,0,0,0,0,0
25,14,,,,0,0,0,0,0
25,15,,,,0,0,0,0,0
26,11,,,,0,0,0,0,0
26,12,,,,0,0,0,0,0
26,13,,,,0,0,0,0,0
26,14,,,,0,0,0,0,0
26,15,,,,0,0,0,0,0
27,11,,,,0,0,0,0,0
27,12,,,,0,0,0,0,0
27,13,,,,0,0,0,0,0
27,14,,,,0,0,0,0,0
27,15,,,,0,0,0,0,0
28,11,,,,0,0,0,0,0
28,12,,,,0,0,0,0,0
28,13,,,,0,0,0,0,0
28,14,,,,0,0,0,0,0
28,15,,,,0,0,0,0,0
29,11,,,,0,0,0,0,0
29,12,,,,0,0,0,0,0
29,13,,,,0,0,0,0,0
29,14,,,,0,0,0,0,0
29,15,,,,0,0,0,0,0
30,11,,,,0,0,0,0,0
30,12,,,,0,0,0,0,0
30,13,,,,0,0,0,0,0
30,14,,,,0,0,0,0,0
30,15,,,,0,0,0,0,0
31,11,,,,0,0,0,0,0
31,12,,,,0,0,0,0,0
31,13,,,,0,0,0,0,0
31,14,,,,0,0,0,0,0
31,15,,,,0,0,0,0,0
32,11,,,,0,0,0,0,0
32,12,,,,0,0,0,0,0
32,13,,,,0,0,0,0,0
32,14,,,,0,0,0,0,0
32,15,,,,0,0,0,0,0
33,11,,,,0,0,0,0,0
33,12,,,,0,0,0,0,0
33,13,,,,0,0,0,0,0
33,14,,,,0,0,0,0,0
33,15,,,,0,0,0,0,0
34,11,,,,0,0,0,0,0
34,12,,,,0,0,0,0,0
34,13,,,,0,0,0,0,0
34,14,,,,0,0,0,0,0
34,15,,,,0,0,0,0,0
35,11,,,,0,0,0,0,0
35,12,,,,0,0,0,0,0
35,13,,,,0,0,0,0,0
35,14,,,,0,0,0,0,0
35,15,,,,0,0,0,0,0
36,11,,,,0,0,0,0,0
36,12,,,,0,0,0,0,0
36,13,,,,0,0,0,0,0
36,14,,,,0,0,0,0,0
36,15,,,,0,0,0,0,0
37,11,,,,0,0,0,0,0
37,12,,,,0,0,0,0,0
37,13,,,,0,0,0,0,0
37,14,,,,0,0,0,0,0
37,15,,,,0,0,0,0,0
38,11,,,,0,0,0,0,0
38,12,,,,0,0,0,0,0
38,13,,,,0,0,0,0,0
38,14,,,,0,0,0,0,0
38,15,,,,0,0,0,0,0
39,11,,,,0,0,0,0,0
39,12,,,,0,0,0,0,0
39,13,,,,0,0,0,0,0
39,14,,,,0,0,0,0,0
39,15,,,,0,0,0,0,0
40,11,,,,0,0,0,0,0
40,12,,,,0,0,0,0,0
40,13,,,,0,0,0,0,0
40,14,,,,0,0,0,0,0
40,15,,,,0,0,0,0,0
41,11,,,,0,0,0,0,0
41,12,,,,0,0,0,0,0
41,13,,,,0,0,0,0,0
41,14,,,,0,0,0,0,0
41,15,,,,0,0,0,0,0
42,11,,,,0,0,0,0,0
42,12,,,,0,0,0,0,0
42,13,,,,0,0,0,0,0
42,14,,,,0,0,0,0,0
42,15,,,,0,0,0,0,0
43,11,,,,0,0,0,0,0
43,12,,,,0,0,0,0,0
43,13,,,,0,0,0,0,0
43,14,,,,0,0,0,0,0
43,15,,,,0,0,0,0,0
44,11,,,,0,0,0,0,0
44,12,,,,0,0,0,0,0
44,13,,,,0,0,0,0,0
44,14,,,,0,0,0,0,0
44,15,,,,0,0,0,0,0
45,11,,,,0,0,0,0,0
45,12,,,,0,0,0,0,0
45,13,,,,0,0,0,0,0
45,14,,,,0,0,0,0,0
45,15,,,,0,0,0,0,0
46,11,,,,0,0,0,0,0
46,12,,,,0,0,0,0,0
46,13,,,,0,0,0,0,0
46,14,,,,0,0,0,0,0
46,15,,,,0,0,0,0,0
47,11,,,,0,0,0,0,0
47,12,,,,0,0,0,0,0
47,13,,,,0,0,0,0,0
47,14,,,,0,0,0,0,0
47,15,,,,0,0,0,0,0
48,11,,,,0,0,0,0,0
48,12,,,,0,0,0,0,0
48,13,,,,0,0,0,0,0
48,14,,,,0,0,0,0,0
48,15,,,,0,0,0,0,0
49,11,,,,0,0,0,0,0
49,12,,,,0,0,0,0,0
49,13,,,,0,0,0,0,0
49,14,,,,0,0,0,0,0
49,15,,,,0,0,0,0,0
50,11,,,,0,0,0,0,0
50,12,,,,0,0,0,0,0
50,13,,,,0,0,0,0,0
50,14,,,,0,0,0,0,0
50,15,,,,0,0,0,0,0
51,11,,,,0,0,0,0,0
51,12,,,,0,0,0,0,0
51,13,,,,0,0,0,0,0
51,14,,,,0,0,0,0,0
51,15,,,,0,0,0,0,0
52,11,,,,0,0,0,0,0
52,12,,,,0,0,0,0,0
52,13,,,,0,0,0,0,0
52,14,,,,0,0,0,0,0
52,15,,,,0,0,0,0,0
53,11,,,,0,0,0,0,0
53,12,,,,0,0,0,0,0
53,13,,,,0,0,0,0,0
53,14,,,,0,0,0,0,0
53,15,,,,0,0,0,0,0
54,11,,,,0,0,0,0,0
54,12,,,,0,0,0,0,0
54,13,,,,0,0,0,0,0
54,14,,,,0,0,0,0,0
54,15,,,,0,0,0,0,0
55,11,,,,0,0,0,0,0
55,12,,,,0,0,0,0,0
55,13,,,,0,0,0,0,0
55,14,,,,0,0,0,0,0
55,15,,,,0,0,0,0,0
56,11,,,,0,0,0,0,0
56,12,,,,0,0,0,0,0
56,13,,,,0,0,0,0,0
56,14,,,,0,0,0,0,0
56,15,,,,0,0,0,0,0
57,11,,,,0,0,0,0,0
57,12,,,,0,0,0,0,0
57,13,,,,0,0,0,0,0
57,14,,,,0,0,0,0,0
57,15,,,,0,0,0,0,0
58,11,,,,0,0,0,0,0
58,12,,,,0,0,0,0,0
58,13,,,,0,0,0,0,0
58,14,,,,0,0,0,0,0
58,15,,,,0,0,0,0,0
59,11,,,,0,0,0,0,0
59,12,,,,0,0,0,0,0
59,13,,,,0,0,0,0,0
59,14,,,,0,0,0,0,0
59,15,,,,0,0,0,0,0
60,11,,,,0,0,0,0,0
60,12,,,,0,0,0,0,0
60,13,,,,0,0,0,0,0
60,14,,,,0,0,0,0,0
60,15,,,,0,0,0,0,0
61,11,,,,0,0,0,0,0
61,12,,,,0,0,0,0,0
61,13,,,,0,0,0,0,0
61,14,,,,0,0,0,0,0
61,15,,,,0,0,0,0,0
62,11,,,,0,0,0,0,0
62,12,,,,0,0,0,0,0
62,13,,,,0,0,0,0,0
62,14,,,,0,0,0,0,0
62,15,,,,0,0,0,0,0
63,11,,,,0,0,0,0,0
63,12,,,,0,0,0,0,0
63,13,,,,0,0,0,0,0
63,14,,,,0,0,0,0,0
63,15,,,,0,0,0,0,0
64,11,,,,0,0,0,0,0
64,12,,,,0,0,0,0,0
64,13,,,,0,0,0,0,0
64,14,,,,0,0,0,0,0
64,15,,,,0,0,0,0,0
65,11,,,,0,0,0,0,0
65,12,,,,0,0,0,0,0
65,13,,,,0,0,0,0,0
65,14,,,,0,0,0,0,0
65,15,,,,0,0,0,0,0
66,11,,,,0,0,0,0,0
66,12,,,,0,0,0,0,0
66,13,,,,0,0,0,0,0
66,14,,,,0,0,0,0,0
66,15,,,,0,0,0,0,0
67,11,,,,0,0,0,0,0
67,12,,,,0,0,0,0,0
67,13,,,,0,0,0,0,0
67,14,,,,0,0,0,0,0
67,15,,,,0,0,0,0,0
68,11,,,,0,0,0,0,0
68,12,,,,0,0,0,0,0
68,13,,,,0,0,0,0,0
68,14,,,,0,0,0,0,0
68,15,,,,0,0,0,0,0
69,11,,,,0,0,0,0,0
69,12,,,,0,0,0,0,0
69,13,,,,0,0,0,0,0
69,14,,,,0,0,0,0,0
69,15,,,,0,0,0,0,0
70,11,,,,0,0,0,0,0
70,12,,,,0,0,0,0,0
70,13,,,,0,0,0,0,0
70,14,,,,0,0,0,0,0
70,15,,,,0,0,0,0,0
71,11,,,,0,0,0,0,0
71,12,,,,0,0,0,0,0
71,13,,,,0,0,0,0,0
71,14,,,,0,0,0,0,0
71,15,,,,0,0,0,0,0
72,11,,,,0,0,0,0,0
72,12,,,,0,0,0,0,0
72,13,,,,0,0,0,0,0
72,14,,,,0,0,0,0,0
72,15,,,,0,0,0,0,0
73,11,,,,0,0,0,0,0
73,12,,,,0,0,0,0,0
73,13,,,,0,0,0,0,0
73,14,,,,0,0,0,0,0
73,15,,,,0,0,0,0,0
74,11,,,,0,0,0,0,0
74,12,,,,0,0,0,0,0
74,13,,,,0,0,0,0,0
74,14,,,,0,0,0,0,0
74,15,,,,0,0,0,0,0
75,11,,,,0,0,0,0,0
75,12,,,,0,0,0,0,0
75,13,,,,0,0,0,0,0
75,14,,,,0,0,0,0,0
75,15,,,,0,0,0,0,0
76,11,,,,0,0,0,0,0
76,12,,,,0,0,0,0,0
76,13,,,,0,0,0,0,0
76,14,,,,0,0,0,0,0
76,15,,,,0,0,0,0,0
77,11,,,,0,0,0,0,0
77,12,,,,0,0,0,0,0
77,13,,,,0,0,0,0,0
77,14,,,,0,0,0,0,0
77,15,,,,0,0,0,0,0
78,11,,,,0,0,0,0,0
78,12,,,,0,0,0,0,0
78,13,,,,0,0,0,0,0
78,14,,,,0,0,0,0,0
78,15,,,,0,0,0,0,0
79,11,,,,0,0,0,0,0
79,12,,,,0,0,0,0,0
79,13,,,,0,0,0,0,0
79,14,,,,0,0,0,0,0
79,15,,,,0,0,0,0,0
80,11,,,,0,0,0,0,0
80,12,,,,0,0,0,0,0
80,13,,,,0,0,0,0,0
80,14,,,,0,0,0,0,0
80,15,,,,0,0,0,0,0
81,11,,,,0,0,0,0,0
81,12,,,,0,0,0,0,0
81,13,,,,0,0,0,0,0
81,14,,,,0,0,0,0,0
81,15,,,,0,0,0,0,0
82,11,,,,0,0,0,0,0
82,12,,,,0,0,0,0,0
82,13,,,,0,0,0,0,0
82,14,,,,0,0,0,0,0
82,15,,,,0,0,0,0,0
83,11,,,,0,0,0,0,0
83,12,,,,0,0,0,0,0
83,13,,,,0,0,0,0,0
83,14,,,,0,0,0,0,0
83,15,,,,0,0,0,0,0
84,11,,,,0,0,0,0,0
84,12,,,,0,0,0,0,0
84,13,,,,0,0,0,0,0
84,14,,,,0,0,0,0,0
84,15,,,,0,0,0,0,0
85,11,,,,0,0,0,0,0
85,12,,,,0,0,0,0,0
85,13,,,,0,0,0,0,0
85,14,,,,0,0,0,0,0
85,15,,,,0,0,0,0,0
86,11,,,,0,0,0,0,0
86,12,,,,0,0,0,0,0
86,13,,,,0,0,0,0,0
86,14,,,,0,0,0,0,0
86,15,,,,0,0,0,0,0
87,11,,,,0,0,0,0,0
87,12,,,,0,0,0,0,0
87,13,,,,0,0,0,0,0
87,14,,,,0,0,0,0,0
87,15,,,,0,0,0,0,0
88,11,,,,0,0,0,0,0
88,12,,,,0,0,0,0,0
88,13,,,,0,0,0,0,0
88,14,,,,0,0,0,0,0
88,15,,,,0,0,0,0,0
89,11,,,,0,0,0,0,0
89,12,,,,0,0,0,0,0
89,13,,,,0,0,0,0,0
89,14,,,,0,0,0,0,0
89,15,,,,0,0,0,0,0
90,11,,,,0,0,0,0,0
90,12,,,,0,0,0,0,0
90,13,,,,0,0,0,0,0
90,14,,,,0,0,0,0,0
90,15,,,,0,0,0,0,0
91,11,,,,0,0,0,0,0
91,12,,,,0,0,0,0,0
91,13,,,,0,0,0,0,0
91,14,,,,0,0,0,0,0
91,15,,,,0,0,0,0,0
92,11,,,,0,0,0,0,0
92,12,,,,0,0,0,0,0
92,13,,,,0,0,0,0,0
92,14,,,,0,0,0,0,0
92,15,,,,0,0,0,0,0
93,11,,,,0,0,0,0,0
93,12,,,,0,0,0,0,0
93,13,,,,0,0,0,0,0
93,14,,,,0,0,0,0,0
93,15,,,,0,0,0,0,0
94,11,,,,0,0,0,0,0
94,12,,,,0,0,0,0,0
94,13,,,,0,0,0,0,0
94,14,,,,0,0,0,0,0
94,15,,,,0,0,0,0,0
95,11,,,,0,0,0,0,0
95,12,,,,0,0,0,0,0
95,13,,,,0,0,0,0,0
95,14,,,,0,0,0,0,0
95,15,,,,0,0,0,0,0
96,11,,,,0,0,0,0,0
96,12,,,,0,0,0,0,0
96,13,,,,0,0,0,0,0
96,14,,,,0,0,0,0,0
96,15,,,,0,0,0,0,0
97,11,,,,0,0,0,0,0
97,12,,,,0,0,0,0,0
97,13,,,,0,0,0,0,0
97,14,,,,0,0,0,0,0
97,15,,,,0,0,0,0,0
98,11,,,,0,0,0,0,0
98,12,,,,0,0,0,0,0
98,13,,,,0,0,0,0,0
98,14,,,,0,0,0,0,0
98,15,,,,0,0,0,0,0
99,11,,,,0,0,0,0,0
99,12,,,,0,0,0,0,0
99,13,,,,0,0,0,0,0
99,14,,,,0,0,0,0,0
99,15,,,,0,0,0,0,0
100,11,,,,0,0,0,0,0
100,12,,,,0,0,0,0,0
100,13,,,,0,0,0,0,0
100,14,,,,0,0,0,0,0
100,15,,,,0,0,0,0,0
101,11,,,,0,0,0,0,0
101,12,,,,0,0,0,0,0
101,13,,,,0,0,0,0,0
101,14,,,,0,0,0,0,0
101,15,,,,0,0,0,0,0
102,11,,,,0,0,0,0,0
102,12,,,,0,0,0,0,0
102,13,,,,0,0,0,0,0
102,14,,,,0,0,0,0,0
102,15,,,,0,0,0,0,0
103,11,,,,0,0,0,0,0
103,12,,,,0,0,0,0,0
103,13,,,,0,0,0,0,0
103,14,,,,0,0,0,0,0
103,15,,,,0,0,0,0,0
104,11,,,,0,0,0,0,0
104,12,,,,0,0,0,0,0
104,13,,,,0,0,0,0,0
104,14,,,,0,0,0,0,0
104,15,,,,0,0,0,0,0
105,11,,,,0,0,0,0,0
105,12,,,,0,0,0,0,0
105,13,,,,0,0,0,0,0
105,14,,,,0,0,0,0,0
105,15,,,,0,0,0,0,0
106,11,,,,0,0,0,0,0
106,12,,,,0,0,0,0,0
106,13,,,,0,0,0,0,0
106,14,,,,0,0,0,0,0
106,15,,,,0,0,0,0,0
107,11,,,,0,0,0,0,0
107,12,,,,0,0,0,0,0
107,13,,,,0,0,0,0,0
107,14,,,,0,0,0,0,0
107,15,,,,0,0,0,0,0
108,11,,,,0,0,0,0,0
108,12,,,,0,0,0,0,0
108,13,,,,0,0,0,0,0
108,14,,,,0,0,0,0,0
108,15,,,,0,0,0,0,0
109,11,,,,0,0,0,0,0
109,12,,,,0,0,0,0,0
109,13,,,,0,0,0,0,0
109,14,,,,0,0,0,0,0
109,15,,,,0,0,0,0,0
110,11,,,,0,0,0,0,0
110,12,,,,0,0,0,0,0
110,13,,,,0,0,0,0,0
110,14,,,,0,0,0,0,0
110,15,,,,0,0,0,0,0
111,11,,,,0,0,0,0,0
111,12,,,,0,0,0,0,0
111,13,,,,0,0,0,0,0
111,14,,,,0,0,0,0,0
111,15,,,,0,0,0,0,0
112,11,,,,0,0,0,0,0
112,12,,,,0,0,0,0,0
112,13,,,,0,0,0,0,0
112,14,,,,0,0,0,0,0
112,15,,,,0,0,0,0,0
113,11,,,,0,0,0,0,0
113,12,,,,0,0,0,0,0
113,13,,,,0,0,0,0,0
113,14,,,,0,0,0,0,0
113,15,,,,0,0,0,0,0
114,11,,,,0,0,0,0,0
114,12,,,,0,0,0,0,0
114,13,,,,0,0,0,0,0
114,14,,,,0,0,0,0,0
114,15,,,,0,0,0,0,0
115,11,,,,0,0,0,0,0
115,12,,,,0,0,0,0,0
115,13,,,,0,0,0,0,0
115,14,,,,0,0,0,0,0
115,15,,,,0,0,0,0,0
116,11,,,,0,0,0,0,0
116,12,,,,0,0,0,0,0
116,13,,,,0,0,0,0,0
116,14,,,,0,0,0,0,0
116,15,,,,0,0,0,0,0
117,11,,,,0,0,0,0,0
117,12,,,,0,0,0,0,0
117,13,,,,0,0,0,0,0
117,14,,,,0,0,0,0,0
117,15,,,,0,0,0,0,0
118,11,,,,0,0,0,0,0
118,12,,,,0,0,0,0,0
118,13,,,,0,0,0,0,0
118,14,,,,0,0,0,0,0
118,15,,,,0,0,0,0,0
119,11,,,,0,0,0,0,0
119,12,,,,0,0,0,0,0
119,13,,,,0,0,0,0,0
119,14,,,,0,0,0,0,0
119,15,,,,0,0,0,0,0
120,11,,,,0,0,0,0,0
120,12,,,,0,0,0,0,0
120,13,,,,0,0,0,0,0
120,14,,,,0,0,0,0,0
120,15,,,,0,0,0,0,0
121,11,,,,0,0,0,0,0
121,12,,,,0,0,0,0,0
121,13,,,,0,0,0,0,0
121,14,,,,0,0,0,0,0
121,15,,,,0,0,0,0,0
122,11,,,,0,0,0,0,0
122,12,,,,0,0,0,0,0
122,13,,,,0,0,0,0,0
122,14,,,,0,0,0,0,0
122,15,,,,0,0,0,0,0
123,11,,,,0,0,0,0,0
123,12,,,,0,0,0,0,0
123,13,,,,0,0,0,0,0
123,14,,,,0,0,0,0,0
123,15,,,,0,0,0,0,0
124,11,,,,0,0,0,0,0
124,12,,,,0,0,0,0,0
124,13,,,,0,0,0,0,0
124,14,,,,0,0,0,0,0
124,15,,,,0,0,0,0,0
125,11,,,,0,0,0,0,0
125,12,,,,0,0,0,0,0
125,13,,,,0,0,0,0,0
125,14,,,,0,0,0,0,0
125,15,,,,0,0,0,0,0
126,11,,,,0,0,0,0,0
126,12,,,,0,0,0,0,0
126,13,,,,0,0,0,0,0
126,14,,,,0,0,0,0,0
126,15,,,,0,0,0,0,0
127,11,,,,0,0,0,0,0
127,12,,,,0,0,0,0,0
127,13,,,,0,0,0,0,0
127,14,,,,0,0,0,0,0
127,15,,,,0,0,0,0,0
128,11,,,,0,0,0,0,0
128,12,,,,0,0,0,0,0
128,13,,,,0,0,0,0,0
128,14,,,,0,0,0,0,0
128,15,,,,0,0,0,0,0
129,11,,,,0,0,0,0,0
129,12,,,,0,0,0,0,0
129,13,,,,0,0,0,0,0
129,14,,,,0,0,0,0,0
129,15,,,,0,0,0,0,0
130,11,,,,0,0,0,0,0
130,12,,,,0,0,0,0,0
130,13,,,,0,0,0,0,0
130,14,,,,0,0,0,0,0
130,15,,,,0,0,0,0,0
131,11,,,,0,0,0,0,0
131,12,,,,0,0,0,0,0
131,13,,,,0,0,0,0,0
131,14,,,,0,0,0,0,0
131,15,,,,0,0,0,0,0
132,11,,,,0,0,0,0,0
132,12,,,,0,0,0,0,0
132,13,,,,0,0,0,0,0
132,14,,,,0,0,0,0,0
132,15,,,,0,0,0,0,0
133,11,,,,0,0,0,0,0
133,12,,,,0,0,0,0,0
133,13,,,,0,0,0,0,0
133,14,,,,0,0,0,0,0
133,15,,,,0,0,0,0,0
134,11,,,,0,0,0,0,0
134,12,,,,0,0,0,0,0
134,13,,,,0,0,0,0,0
134,14,,,,0,0,0,0,0
134,15,,,,0,0,0,0,0
135,11,,,,0,0,0,0,0
135,12,,,,0,0,0,0,0
135,13,,,,0,0,0,0,0
135,14,,,,0,0,0,0,0
135,15,,,,0,0,0,0,0
136,11,,,,0,0,0,0,0
136,12,,,,0,0,0,0,0
136,13,,,,0,0,0,0,0
136,14,,,,0,0,0,0,0
136,15,,,,0,0,0,0,0
137,11,,,,0,0,0,0,0
137,12,,,,0,0,0,0,0
137,13,,,,0,0,0,0,0
137,14,,,,0,0,0,0,0
137,15,,,,0,0,0,0,0
138,11,,,,0,0,0,0,0
138,12,,,,0,0,0,0,0
138,13,,,,0,0,0,0,0
138,14,,,,0,0,0,0,0
138,15,,,,0,0,0,0,0
139,11,,,,0,0,0,0,0
139,12,,,,0,0,0,0,0
139,13,,,,0,0,0,0,0
139,14,,,,0,0,0,0,0
139,15,,,,0,0,0,0,0
140,11,,,,0,0,0,0,0
140,12,,,,0,0,0,0,0
140,13,,,,0,0,0,0,0
140,14,,,,0,0,0,0,0
140,15,,,,0,0,0,0,0
141,11,,,,0,0,0,0,0
141,12,,,,0,0,0,0,0
141,13,,,,0,0,0,0,0
141,14,,,,0,0,0,0,0
141,15,,,,0,0,0,0,0
142,11,,,,0,0,0,0,0
142,12,,,,0,0,0,0,0
142,13,,,,0,0,0,0,0
142,14,,,,0,0,0,0,0
142,15,,,,0,0,0,0,0
143,11,,,,0,0,0,0,0
143,12,,,,0,0,0,0,0
143,13,,,,0,0,0,0,0
143,14,,,,0,0,0,0,0
143,15,,,,0,0,0,0,0
144,11,,,,0,0,0,0,0
144,12,,,,0,0,0,0,0
144,13,,,,0,0,0,0,0
144,14,,,,0,0,0,0,0
144,15,,,,0,0,0,0,0
145,11,,,,0,0,0,0,0
145,12,,,,0,0,0,0,0
145,13,,,,0,0,0,0,0
145,14,,,,0,0,0,0,0
145,15,,,,0,0,0,0,0
146,11,,,,0,0,0,0,0
146,12,,,,0,0,0,0,0
146,13,,,,0,0,0,0,0
146,14,,,,0,0,0,0,0
146,15,,,,0,0,0,0,0
147,11,,,,0,0,0,0,0
147,12,,,,0,0,0,0,0
147,13,,,,0,0,0,0,0
147,14,,,,0,0,0,0,0
147,15,,,,0,0,0,0,0
148,11,,,,0,0,0,0,0
148,12,,,,0,0,0,0,0
148,13,,,,0,0,0,0,0
148,14,,,,0,0,0,0,0
148,15,,,,0,0,0,0,0
149,11,,,,0,0,0,0,0
149,12,,,,0,0,0,0,0
149,13,,,,0,0,0,0,0
149,14,,,,0,0,0,0,0
149,15,,,,0,0,0,0,0
150,11,,,,0,0,0,0,0
150,12,,,,0,0,0,0,0
150,13,,,,0,0,0,0,0
150,14,,,,0,0,0,0,0
150,15,,,,0,0,0,0,0
151,11,,,,0,0,0,0,0
151,12,,,,0,0,0,0,0
151,13,,,,0,0,0,0,0
151,14,,,,0,0,0,0,0
151,15,,,,0,0,0,0,0
152,11,,,,0,0,0,0,0
152,12,,,,0,0,0,0,0
152,13,,,,0,0,0,0,0
152,14,,,,0,0,0,0,0
152,15,,,,0,0,0,0,0
153,11,,,,0,0,0,0,0
153,12,,,,0,0,0,0,0
153,13,,,,0,0,0,0,0
153,14,,,,0,0,0,0,0
153,15,,,,0,0,0,0,0
154,11,,,,0,0,0,0,0
154,12,,,,0,0,0,0,0
154,13,,,,0,0,0,0,0
154,14,,,,0,0,0,0,0
154,15,,,,0,0,0,0,0
155,11,,,,0,0,0,0,0
155,12,,,,0,0,0,0,0
155,13,,,,0,0,0,0,0
155,14,,,,0,0,0,0,0
155,15,,,,0,0,0,0,0
156,11,,,,0,0,0,0,0
156,12,,,,0,0,0,0,0
156,13,,,,0,0,0,0,0
156,14,,,,0,0,0,0,0
156,15,,,,0,0,0,0,0
157,11,,,,0,0,0,0,0
157,12,,,,0,0,0,0,0
157,13,,,,0,0,0,0,0
157,14,,,,0,0,0,0,0
157,15,,,,0,0,0,0,0
158,11,,,,0,0,0,0,0
158,12,,,,0,0,0,0,0
158,13,,,,0,0,0,0,0
158,14,,,,0,0,0,0,0
158,15,,,,0,0,0,0,0
159,11,,,,0,0,0,0,0
159,12,,,,0,0,0,0,0
159,13,,,,0,0,0,0,0
159,14,,,,0,0,0,0,0
159,15,,,,0,0,0,0,0
160,11,,,,0,0,0,0,0
160,12,,,,0,0,0,0,0
160,13,,,,0,0,0,0,0
160,14,,,,0,0,0,0,0
160,15,,,,0,0,0,0,0
161,11,,,,0,0,0,0,0
161,12,,,,0,0,0,0,0
161,13,,,,0,0,0,0,0
161,14,,,,0,0,0,0,0
161,15,,,,0,0,0,0,0
