bus,cluster,foreign,medoid_idx
1,12,,
1000,9,,
10001,14,,
10020,14,,
10025,14,,
10027,14,,
1003,9,,
1004,9,,
10058,7,,
10064,6,,
10071,12,,
10073,12,,
10086,4,,
10087,4,,
10101,13,,
10103,13,,
10135,2,,
10136,2,,
10169,4,,
1018,1,,
10181,15,,
10188,6,,
10189,6,,
1019,1,,
10209,8,,
10210,8,,
10212,8,,
10213,8,,
1023,3,,
10236,4,,
1024,3,,
10245,4,,
10246,4,,
10261,11,,
10266,11,,
10272,2,,
10276,7,,
1029,3,,
10294,11,,
1030,3,,
10304,2,,
10305,2,,
10306,2,,
10307,2,,
10310,2,,
10321,13,,
10374,2,,
1038,3,,
10385,12,,
1039,3,,
10392,3,,
10398,14,,
1040,3,,
1043,3,,
10443,2,,
10467,2,,
10468,2,,
10490,14,,
10493,14,,
10495,14,,
105,7,,
10500,14,,
10501,14,,
10504,11,,
10520,6,,
10522,2,,
10555,14,,
10557,4,,
10559,4,,
10566,7,,
106,7,,
10648,6,,
10660,6,,
10720,2,,
10721,2,,
10727,4,,
10736,1,,
1074,3,,
10743,1,,
10746,1,,
10748,2,,
1079,3,,
10854,3,,
10855,3,,
10866,10866,,
1088,3,,
10892,4,,
109,7,,
10941,1,,
10951,6,,
10955,6,,
10978,5,,
10979,5,,
10983,5,,
10986,7,,
10993,15,,
10998,1,,
11000,4,,
11008,7,,
11014,12,,
11015,12,,
11017,12,,
11022,3,,
11023,3,,
11024,3,,
11028,3,,
1103,3,,
11031,3,,
11043,3,,
11047,3,,
11048,3,,
11066,3,,
11067,3,,
11073,3,,
11077,1,,
11078,1,,
1108,3,,
11085,14,,
11087,7,,
11094,9,,
11100,14,,
11102,3,,
11117,6,,
11124,11,,
11127,11,,11
11131,13,,
11132,13,,
11133,13,,
11134,13,,
11139,13,,
11140,13,,
11145,6,,
11157,3,,
11158,3,,
11161,3,,
11163,3,,
11169,3,,
11174,6,,
11175,6,,
11177,6,,
11181,6,,
11182,6,,
11183,6,,
11199,2,,
112,12,,
11200,2,,
1121,7,,
11222,12,,
11232,12,,
11238,6,,
11239,6,,
1124,7,,
11244,9,,
11246,9,,
11247,9,,
11249,9,,
1125,7,,
11253,9,,
11256,2,,
11276,13,,
11287,9,,
11290,11,,
113,12,,
11318,7,,
11319,7,,
11320,7,,
11337,11,,
11355,7,,
11420,3,,
11421,3,,
11433,14,,
11437,15,,
11444,15,,
11454,4,,
11473,14,,
11474,14,,
11476,14,,
11478,14,,
11495,3,,
11503,6,,
11509,6,,
11510,6,,
11513,9,,
11516,9,,
11517,9,,
11522,11,,
11523,11,,
11528,11,,
11533,3,,
11545,12,,
11546,11,,
11547,15,,
11549,11,,
11571,4,,
11581,9,,
11582,9,,
11603,7,,
11604,7,,
11606,7,,
11620,1,,
11621,1,,
11637,9,,
11638,9,,
11639,9,,
11647,6,,
1165,12,,
11689,77529,,
11690,77529,,
11712,6,,
11713,6,,
11715,12,,
11716,12,,
11724,1,,
11732,2,,
11761,7,,
11762,7,,
11764,7,,
11765,7,,
11780,7,,
11790,5,,
11808,12,,
11809,12,,
11810,12,,
11830,9,,
11831,9,,
11842,9,,
11843,9,,
11847,9,,
11853,77529,,
11854,77529,,
11855,77529,,
11856,77529,,
1188,9,,
1189,9,,
11908,11,,
11909,11,,
1191,9,,
11912,11,,
11937,3,,
11939,3,,
11941,3,,
11945,3,,
11946,3,,
11949,3,,
11950,3,,
11971,6,,
11984,1,,
12,4,,
1204,77527,,
12045,3,,
12047,3,,
12048,3,,
12063,7,,
12076,3,,
1210,9,,
12101,11,,
12126,1,,
12150,11,,
12163,6,,
1219,2,,
12193,2,,
12194,2,,
12220,3,,
12221,3,,
12222,3,,
12223,3,,
12225,3,,
12227,3,,
12228,3,,
